Scenarios Input,Testcases
User Registration and Authentication:,
,
Verify that users can register with valid information.,Verify that users can register with valid information:
,
,"Test Case 1: Enter all required fields (e.g., username, email, password) with valid information."
,Test Case 2: Verify that the user receives a confirmation email after successful registration.
,Test Case 3: Check if the registered user is able to log in after registration.
"Verify that users cannot register with invalid information (e.g., invalid email format, duplicate username).",Verify that users cannot register with invalid information:
,
,"Test Case 4: Enter an invalid email format (e.g., missing ""@"" symbol, incorrect domain)."
,Test Case 5: Attempt to register with a username that is already in use.
,Test Case 6: Leave required fields blank and attempt to register.
Verify that users can log in with correct credentials.,Verify that users can log in with correct credentials:
,
,Test Case 7: Enter valid username and password.
,Test Case 8: Check if the user is redirected to the home page/dashboard upon successful login.
,"Test Case 9: Verify that users remain logged in if the ""Remember Me"" option is selected."
Verify that users cannot log in with incorrect credentials.,Verify that users cannot log in with incorrect credentials:
,
,Test Case 10: Enter incorrect username and correct password.
,Test Case 11: Enter correct username and incorrect password.
,Test Case 12: Check if the appropriate error message is displayed for invalid login attempts.
Verify that users can reset their password if forgotten.,Verify that users can reset their password if forgotten:
,
,"Test Case 13: Click on the ""Forgot Password?"" link and enter the registered email address."
,Test Case 14: Verify that a password reset link is sent to the user's email.
,Test Case 15: Click on the password reset link and enter a new password.
,Test Case 16: Verify that the user can log in with the new password after resetting.
,
Browsing and Searching:,
,
Verify that users can browse through different restaurants.,Verify that users can browse through different restaurants:
,
,Test Case 1: Open the app and navigate to the restaurant browsing section.
,Test Case 2: Scroll through the list of restaurants to ensure they are displayed properly.
,Test Case 3: Click on random restaurants to verify that detailed information is displayed correctly.
"Verify that users can search for restaurants by name, cuisine, location, etc.","Verify that users can search for restaurants by name, cuisine, location, etc.:"
,
,Test Case 4: Enter the name of a specific restaurant in the search bar and verify that it appears in the search results.
,"Test Case 5: Search for restaurants based on cuisine type (e.g., Italian, Mexican) and ensure relevant results are displayed."
,"Test Case 6: Test searching by location (e.g., city, zip code) to find restaurants nearby."
"Verify that users can filter search results based on various criteria (e.g., price, ratings, delivery time).",Verify that users can filter search results based on various criteria:
,
,"Test Case 7: Apply a filter based on price range (e.g., $, $$, $$$) and verify that restaurants within the selected range are displayed."
,"Test Case 8: Filter restaurants by ratings (e.g., 4 stars and above) and confirm that only highly rated restaurants appear."
,"Test Case 9: Apply a filter for delivery time (e.g., within 30 minutes, within 1 hour) and ensure restaurants with corresponding delivery times are shown."
"Verify that users can view details of a restaurant including menu, reviews, ratings, and photos.","Verify that users can view details of a restaurant including menu, reviews, ratings, and photos:"
,
,Test Case 10: Click on a restaurant from the search results and verify that its details page opens.
,Test Case 11: Check that the menu items are listed with prices and descriptions.
,Test Case 12: Verify that user reviews and ratings are displayed along with the option to read more.
,Test Case 13: Ensure that restaurant photos are visible and can be enlarged for better viewing.
,
Placing Orders:,
,
Verify that users can add items to their cart from the menu.,Verify that users can add items to their cart from the menu:
,
,Scenario 1: User navigates to the menu of a restaurant.
,Sub-scenario 1: User selects an item from the menu.
,Sub-scenario 2: User adds multiple items to the cart.
,Sub-scenario 3: User adds items from different categories to the cart.
"Verify that users can specify customization options (e.g., toppings, spiciness level).","Verify that users can specify customization options (e.g., toppings, spiciness level):"
,
,Scenario 2: User selects an item from the menu that offers customization options.
,Sub-scenario 1: User selects toppings for a pizza.
,Sub-scenario 2: User specifies the spiciness level for a dish.
,Sub-scenario 3: User selects additional sides or condiments for an item.
"Verify that users can view their cart, modify quantities, and remove items.","Verify that users can view their cart, modify quantities, and remove items:"
,
,Scenario 3: User clicks on the cart icon to view their current order.
,Sub-scenario 1: User modifies the quantity of items in the cart.
,Sub-scenario 2: User removes an item from the cart.
,Sub-scenario 3: User clears the entire cart.
Verify that users can proceed to checkout and choose delivery or pickup options.,Verify that users can proceed to checkout and choose delivery or pickup options:
,
,Scenario 4: User reviews their order and proceeds to checkout.
,Sub-scenario 1: User selects delivery option and provides delivery address.
,Sub-scenario 2: User selects pickup option and chooses a pickup location.
,Sub-scenario 3: User can see estimated delivery/pickup time before finalizing the order.
Verify that users can add delivery addresses and payment methods.,Verify that users can add delivery addresses and payment methods:
,
,Scenario 5: User adds a new delivery address during checkout.
,Sub-scenario 1: User fills in required details for a new delivery address.
,Sub-scenario 2: User saves the delivery address for future orders.
,Scenario 6: User adds a payment method during checkout.
,Sub-scenario 1: User enters credit/debit card details.
,Sub-scenario 2: User adds a new payment method like PayPal or Google Pay.
Verify that users can apply promo codes or discounts.,Verify that users can apply promo codes or discounts:
,
,Scenario 7: User applies a promo code during checkout.
,Sub-scenario 1: User enters a valid promo code and applies it to the order.
,Sub-scenario 2: User enters an expired or invalid promo code and verifies the error message.
,"Scenario 8: User applies a discount automatically applied to the order (e.g., new user discount, holiday discount)."
,Sub-scenario 1: User's eligible discount is automatically applied to the order total.
,
Order Management:,
,
Verify that users can view their order history.,Verify that users can view their order history:
,
,"Test Case 1: User navigates to the ""Order History"" section of the app."
,"Expected Result: The user's previous orders are displayed chronologically with relevant details (e.g., order number, date, items, total cost)."
Verify that users receive confirmation emails/SMS upon placing an order.,Verify that users receive confirmation emails/SMS upon placing an order:
,
,Test Case 2: User places an order successfully.
,"Expected Result: User receives a confirmation email or SMS containing details of the order (e.g., order number, items, delivery address, estimated delivery time)."
"Verify that users receive real-time updates on the status of their order (e.g., order confirmed, food being prepared, out for delivery).",Verify that users receive real-time updates on the status of their order:
,
,Test Case 3: User places an order and monitors order status in real-time.
,"Expected Result: User receives notifications or can check within the app for updates such as ""Order Confirmed,"" ""Food Being Prepared,"" ""Out for Delivery,"" and ""Order Delivered."""
Verify that users can cancel an order before it is confirmed by the restaurant.,Verify that users can cancel an order before it is confirmed by the restaurant:
,
,Test Case 4: User attempts to cancel an order immediately after placing it.
,"Expected Result: The user can cancel the order successfully, and the payment authorization is voided."
,Test Case 5: User attempts to cancel an order after it has been confirmed by the restaurant.
,Expected Result: The user receives a message indicating that the order cannot be canceled because it is already being prepared.
Verify that users can contact customer support for any issues with their order.,Verify that users can contact customer support for any issues with their order:
,
,"Test Case 6: User encounters an issue with an order (e.g., missing items, delayed delivery)."
,Expected Result: User can easily find and access the customer support/contact information within the app.
